distance_function,time_tick,run,seed,n,d,tsi_score,tsi_time,qsi_score,qsi_time
cosine,0.8888888888888888,10,9,1000,50,0.9416597619663752,5.487500725314021,0.940003420284102,120.97557363286614
cosine,1.0,10,9,1000,50,1.0,5.318754704669118,1.0,120.95318935066462
cosine,0.0,11,10,1000,50,0.5016574069059039,5.314112382009625,0.50297814766423,120.3502369467169
cosine,0.1111111111111111,11,10,1000,50,0.5107360165777,5.269171668216586,0.514883314322779,119.46514826267958
cosine,0.2222222222222222,11,10,1000,50,0.5322134258507004,5.204866226762533,0.5381499161567623,146.16372068412602
cosine,0.3333333333333333,11,10,1000,50,0.5714932527718098,5.292002249509096,0.5771626377645477,120.84534488990903
cosine,0.4444444444444444,11,10,1000,50,0.6307803214035679,5.284390028566122,0.6336661320186565,121.87249703705311
cosine,0.5555555555555556,11,10,1000,50,0.706511078212481,5.232678432017565,0.7055939990217049,122.03680055588484
cosine,0.6666666666666666,11,10,1000,50,0.7900481002044129,5.268192432820797,0.7869052406396221,141.90119400434196
cosine,0.7777777777777777,11,10,1000,50,0.8711314801775724,5.191570112481713,0.8682127718116566,146.3123608827591
cosine,0.8888888888888888,11,10,1000,50,0.9420414241897208,5.336860062554479,0.9406289857192464,120.68228435888886
cosine,1.0,11,10,1000,50,1.0,5.259505275636911,1.0,120.86940945312381
cosine,0.0,12,11,1000,50,0.49990354883942056,5.293932322412729,0.5002803327786935,144.63601068407297
cosine,0.1111111111111111,12,11,1000,50,0.5096423116503277,5.225448679178953,0.5126254035375387,138.80853245966136
cosine,0.2222222222222222,12,11,1000,50,0.5319520382105553,5.169911123812199,0.5366002945436236,120.33819355629385
cosine,0.3333333333333333,12,11,1000,50,0.5719592578550494,5.369911206886172,0.5764413870456648,120.64329237118363
cosine,0.4444444444444444,12,11,1000,50,0.6314488015069177,5.271679243072867,0.6334819843089179,120.94904541224241
cosine,0.5555555555555556,12,11,1000,50,0.7066714169078898,5.305760001763701,0.7052469678418868,149.8965313564986
cosine,0.6666666666666666,12,11,1000,50,0.789468903773513,5.327358279377222,0.7859383413298545,123.13167461939156
cosine,0.7777777777777777,12,11,1000,50,0.8701641220378695,5.379548313096166,0.8668999208433302,121.15606164373457
cosine,0.8888888888888888,12,11,1000,50,0.9413380895925986,5.210614396259189,0.939686953216938,195.10536096990108
cosine,1.0,12,11,1000,50,1.0,5.246566100046039,1.0,122.04507912509143
cosine,0.0,13,12,1000,50,0.49967056033989904,5.303463919088244,0.499128594684336,159.49528290703893
cosine,0.1111111111111111,13,12,1000,50,0.5086771079696931,5.3621272295713425,0.51087945526687,123.28174470178783
cosine,0.2222222222222222,13,12,1000,50,0.5301413096463197,5.463800607249141,0.5340768203213655,122.55609162710607
cosine,0.3333333333333333,13,12,1000,50,0.569418592941639,5.260625060647726,0.5730557188344337,124.5826975479722
cosine,0.4444444444444444,13,12,1000,50,0.6285778002451349,5.307856814935803,0.6295045677774466,131.17948406375945
cosine,0.5555555555555556,13,12,1000,50,0.7041851410528766,5.415073100477457,0.7015674389371994,124.12108622305095
cosine,0.6666666666666666,13,12,1000,50,0.7880044814353432,5.285382799804211,0.7836054290079613,123.04940303601325
cosine,0.7777777777777777,13,12,1000,50,0.8698091097109133,5.306671865284443,0.8661611396060676,131.13092757202685
cosine,0.8888888888888888,13,12,1000,50,0.9414878365339288,5.248666243627667,0.9397936091318523,139.09879648685455
cosine,1.0,13,12,1000,50,1.0,5.136550731956959,1.0,131.21611803211272
cosine,0.0,14,13,1000,50,0.5017492041139335,5.2921067997813225,0.5029638743331646,143.16194208338857
cosine,0.1111111111111111,14,13,1000,50,0.5106629374865848,5.405698288232088,0.5142501191772533,123.14283031970263
cosine,0.2222222222222222,14,13,1000,50,0.5318226803958267,5.391129091382027,0.5366507219214921,123.28275894187391
cosine,0.3333333333333333,14,13,1000,50,0.5705863358348329,5.3478442300111055,0.5746418476655198,123.06009449623525
cosine,0.4444444444444444,14,13,1000,50,0.6291597388972139,5.311088740825653,0.6302512761543964,122.83285601250827
cosine,0.5555555555555556,14,13,1000,50,0.7042185873247998,5.2859686855226755,0.7015617751769051,119.63619426265359
cosine,0.6666666666666666,14,13,1000,50,0.7874958124457122,5.216817682608962,0.7827081412984854,119.90775728225708
cosine,0.7777777777777777,14,13,1000,50,0.868957430376268,5.193495225161314,0.8646721213789713,120.41805145144463
cosine,0.8888888888888888,14,13,1000,50,0.940823506873607,5.241210462525487,0.9386476832388032,133.12591197900474
cosine,1.0,14,13,1000,50,1.0,5.353936068713665,1.0,121.00754041038454
cosine,0.0,15,14,1000,50,0.5040802907115532,5.271087620407343,0.5061183258099858,121.29223970510066
cosine,0.1111111111111111,15,14,1000,50,0.5129665978603855,5.296397093683481,0.5178956305105011,138.53439382463694
cosine,0.2222222222222222,15,14,1000,50,0.5339442528701046,5.281037515029311,0.5405583284323312,123.79535964131355
cosine,0.3333333333333333,15,14,1000,50,0.5721676646586467,5.225361255928874,0.5781628044246762,137.36236320436
cosine,0.4444444444444444,15,14,1000,50,0.62973481698131,5.204735890030861,0.6324418369561816,122.80415539257228
cosine,0.5555555555555556,15,14,1000,50,0.7036949414344204,5.374072935432196,0.7020414318838005,122.16981772333384
cosine,0.6666666666666666,15,14,1000,50,0.7865478484496521,5.379918595775962,0.7821933389038551,122.27625886723399
cosine,0.7777777777777777,15,14,1000,50,0.868247566203478,5.361383834853768,0.8641724810460195,144.65978447161615
cosine,0.8888888888888888,15,14,1000,50,0.940543373032351,5.365594459697604,0.9384970498143202,122.99851528927684
cosine,1.0,15,14,1000,50,1.0,5.33328777551651,1.0,121.70867801830173
cosine,0.0,16,15,1000,50,0.5008512480416288,5.436452155932784,0.5018113695511098,121.46187002956867
cosine,0.1111111111111111,16,15,1000,50,0.5112568500364092,5.277412435039878,0.5156479213428096,120.28363929875195
cosine,0.2222222222222222,16,15,1000,50,0.5343146392885871,5.243676882237196,0.541162650963597,122.06720051728189
cosine,0.3333333333333333,16,15,1000,50,0.5748194467012102,5.220925448462367,0.5819650274411351,142.07410180941224
cosine,0.4444444444444444,16,15,1000,50,0.6340885374352309,5.157554462552071,0.6386717120112657,123.17348061315715
cosine,0.5555555555555556,16,15,1000,50,0.7084290984371144,5.3143755700439215,0.7088327864832449,141.00072836130857
cosine,0.6666666666666666,16,15,1000,50,0.7902344107634689,5.3231366239488125,0.7875629177356965,134.40816469304264
cosine,0.7777777777777777,16,15,1000,50,0.8703289301325373,5.296347452327609,0.867180018590418,136.861770208925
cosine,0.8888888888888888,16,15,1000,50,0.9413022601760077,5.396082570776343,0.9395350453679187,121.86926247924566
cosine,1.0,16,15,1000,50,1.0,5.289015935733914,1.0,121.83904476836324
cosine,0.0,17,16,1000,50,0.4949616851320258,5.441654080525041,0.492127285264211,129.83884509839118
cosine,0.1111111111111111,17,16,1000,50,0.5050742265311403,5.316449765115976,0.505296291030761,121.59762069955468
cosine,0.2222222222222222,17,16,1000,50,0.5278378719400764,5.300044223666191,0.530284045337229,122.07827349565923
cosine,0.3333333333333333,17,16,1000,50,0.5683868698357676,5.2853168323636055,0.5711855465614698,130.02056513167918
cosine,0.4444444444444444,17,16,1000,50,0.628371084511365,5.293238269165158,0.6290652217715813,122.2179713435471
cosine,0.5555555555555556,17,16,1000,50,0.7041544370021324,5.288684768602252,0.7015583734439057,120.72524601593614
cosine,0.6666666666666666,17,16,1000,50,0.7877513184527213,5.265653278678656,0.7832517757202995,129.05677891150117
cosine,0.7777777777777777,17,16,1000,50,0.8692946874730442,5.229979183524847,0.865422247464599,122.30498375557363
cosine,0.8888888888888888,17,16,1000,50,0.9410612155241413,5.463526071980596,0.939192529800128,129.99577990733087
cosine,1.0,17,16,1000,50,1.0,5.4631366189569235,1.0,137.94754592701793
cosine,0.0,18,17,1000,50,0.4992080838353383,5.875212866812944,0.49878633760865626,122.26898872107267
cosine,0.1111111111111111,18,17,1000,50,0.5083612590546458,5.430824277922511,0.5104932253898189,121.71001671254635
cosine,0.2222222222222222,18,17,1000,50,0.5298007907707306,5.478678425773978,0.5334035795664449,129.45942426472902
cosine,0.3333333333333333,18,17,1000,50,0.5687511198573323,5.2582671251147985,0.5717794302142296,129.77999504841864
cosine,0.4444444444444444,18,17,1000,50,0.6273290524993932,5.247088694944978,0.6273885441472289,121.10048978962004
cosine,0.5555555555555556,18,17,1000,50,0.7022765992445351,5.209631580859423,0.6985113565051776,126.95610890723765
cosine,0.6666666666666666,18,17,1000,50,0.7857577397036315,5.412567755207419,0.7799905310262594,129.4326492547989
cosine,0.7777777777777777,18,17,1000,50,0.8678672801057571,5.414344985038042,0.8629893951696072,129.98528524674475
cosine,0.8888888888888888,18,17,1000,50,0.9403922559834383,5.473164904862642,0.9380328406629272,125.80319155193865
